OTU.ID	sa1	sa2	sa3	sa4	sa5	sa6	sa7	sa8	sa9	sa10	sa11	sa12	sa13	sa14	sa15	sa16	sa17	sa18	sa19	sa20	sa21	sa22	sa23	sa24	sa25	sa26	sa27	sa28	sa29	sa30	sa31	sa32	sa33	sa34	Taxonomy
OTU1951	0	0	0	0	0	0	3	3	1	0	0	1	1	0	0	0	1	1	3	2	1	0	1	1	0	2	2	1	0	1	0	0	1	3	US|0.9400|HQ896499_S002989688;d:Archaea,p:"Euryarchaeota",c:Thermoplasmata,o:Methanomassiliicoccales
OTU1952	0	0	0	0	0	0	0	0	0	0	0	1	0	0	23	8	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	SS|1.0000|AF093427_S000543676;d:Bacteria
OTU1953	2	10	3	5	3	1	1	2	1	1	2	2	1	0	0	0	0	0	3	1	0	5	8	1	1	3	1	0	3	0	4	1	0	6	SS|0.9000|JF423906_S002447326;d:Bacteria,p:"Actinobacteria",c:Actinobacteria,o:Gaiellales,f:Gaiellaceae,g:Gaiella,s:Gaiella_occulta
OTU1954	28	47	110	53	59	24	142	65	43	17	73	66	49	63	105	79	1	9	26	34	25	22	22	28	8	10	42	19	55	25	77	23	40	90	SS|1.0000|AY289368_S000405838;d:Bacteria,p:"Acidobacteria",c:Acidobacteria_Gp4,g:Gp4
OTU1955	2	0	0	0	0	1	1	3	1	2	2	3	0	0	2	1	6	7	3	1	3	3	1	1	1	6	0	1	2	1	0	2	2	2	SS|1.0000|AY902680_S000576842;d:Bacteria,p:"Proteobacteria",c:Alphaproteobacteria,o:Sphingomonadales,f:Sphingomonadaceae
OTU1956	2	2	0	0	1	0	0	0	0	0	1	0	0	0	0	0	0	0	3	2	10	2	2	8	0	1	2	4	0	0	0	2	0	1	SS|0.8200|JF423906_S002447326;d:Bacteria,p:"Actinobacteria",c:Actinobacteria,o:Gaiellales,f:Gaiellaceae,g:Gaiella,s:Gaiella_occulta
OTU1957	0	1	0	0	0	2	1	2	0	0	2	0	0	2	1	0	0	1	0	3	0	0	0	0	0	0	11	7	0	1	0	0	4	0	US|0.9963|KC242245_S003753274;d:Bacteria,p:Firmicutes,c:Bacilli
OTU1958	1	2	1	0	1	0	2	2	1	1	4	0	0	0	0	0	1	3	1	1	1	0	0	2	3	1	0	0	1	1	0	0	5	3	US|0.9749|JQ292916_S002966786;d:Bacteria,p:Firmicutes,c:Clostridia,o:Clostridiales
OTU1959	0	0	0	0	0	0	0	1	0	0	0	1	0	0	1	0	1	3	2	1	0	2	0	0	0	5	1	0	2	6	0	0	0	0	US|0.9378|AJ420142_S000145622;d:Bacteria,p:Firmicutes,c:Bacilli
OTU1960	1	5	0	1	1	0	4	3	2	0	1	1	0	1	3	5	0	0	0	1	1	1	1	0	0	0	2	1	0	1	3	1	0	1	SS|0.8500|JF748733_S003803556;d:Bacteria,p:"Planctomycetes",c:Planctomycetia,o:Planctomycetales,f:Planctomycetaceae
OTU1961	9	6	5	3	5	6	4	3	0	1	1	0	6	3	0	0	1	3	1	1	3	0	2	6	0	4	3	2	3	1	7	1	0	1	SS|0.9400|X56305_S000006614;d:Bacteria,p:"Planctomycetes",c:Planctomycetia,o:Planctomycetales,f:Planctomycetaceae
OTU1962	1	0	1	0	2	3	0	2	0	0	0	0	0	0	1	0	0	0	0	0	1	1	0	4	1	0	1	0	0	0	1	1	0	3	SS|0.9200|AB517669_S002164967;d:Bacteria,p:"Actinobacteria",c:Actinobacteria
OTU1963	4	5	8	8	1	1	2	0	0	0	0	0	3	0	0	0	0	0	0	0	1	5	0	2	0	0	0	0	0	0	0	1	0	0	US|1.0000|AF507702_S000430320;d:Bacteria
OTU1964	1	0	0	0	0	0	0	0	0	2	0	1	0	0	0	0	1	0	4	1	0	5	0	0	0	0	0	0	1	0	0	2	1	0	SS|1.0000|DQ442542_S001044306;d:Bacteria,p:"Actinobacteria",c:Actinobacteria,o:Actinomycetales
OTU1965	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	19	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	US|0.9925|CP000804_S002287403;d:Bacteria,p:"Chloroflexi",c:Chloroflexia
OTU1966	1	1	0	0	0	0	2	1	0	0	5	0	0	0	0	0	1	1	3	0	9	10	6	4	3	1	1	1	2	2	1	1	3	1	SS|0.8500|AB510913_S002038860;d:Bacteria,p:"Proteobacteria",c:Alphaproteobacteria,o:Rhodospirillales,f:Rhodospirillaceae
OTU1967	2	4	0	0	3	0	4	0	3	0	1	1	0	0	0	0	1	2	2	4	0	0	0	0	2	0	0	5	2	0	0	0	1	2	US|0.8728|CP000142_S000728206;d:Bacteria,p:"Proteobacteria",c:Deltaproteobacteria
OTU1968	0	0	6	1	0	0	0	1	1	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	12	1	US|0.9992|None;d:Bacteria,p:Firmicutes,c:Bacilli,o:Lactobacillales
OTU1969	0	4	0	0	2	0	0	3	0	3	1	0	0	0	2	2	0	4	0	3	2	3	0	0	1	1	0	2	2	1	1	0	0	1	US|0.9758|EF457456_S000834881;d:Bacteria,p:Firmicutes
OTU1970	2	0	3	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	3	1	2	0	0	0	0	0	0	0	2	0	0	SS|0.8700|AM162406_S000650674;d:Bacteria,p:"Planctomycetes",c:Planctomycetia,o:Planctomycetales,f:Planctomycetaceae
OTU1971	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	22	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0	US|0.8949|JX848544_S003919390;d:Bacteria,p:"Chloroflexi"
OTU1972	0	2	0	0	0	0	0	2	0	0	1	0	0	0	0	0	1	0	3	2	0	0	2	0	0	0	1	3	2	0	0	0	1	1	SS|1.0000|EF457301_S000834726;d:Bacteria,p:"Acidobacteria",c:Acidobacteria_Gp17,g:Gp17
OTU1973	1	4	1	0	2	0	1	5	0	0	0	1	0	1	0	0	0	0	3	1	3	6	0	1	1	0	0	0	5	3	0	1	1	2	SS|1.0000|AB072735_S000251887;d:Bacteria
OTU1974	0	1	0	0	0	0	1	0	2	4	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	5	0	1	0	0	5	1	US|1.0000|EU289437_S000961944;d:Bacteria
OTU1975	2	1	3	1	2	0	4	4	4	3	3	3	1	0	3	4	7	3	10	2	2	4	0	1	3	7	3	4	2	2	0	1	1	6	US|0.9952|None;d:Bacteria,p:"Proteobacteria",c:Gammaproteobacteria,o:Gammaproteobacteria_incertae_sedis
OTU1976	2	1	0	1	2	5	0	0	0	0	0	0	0	4	6	3	0	0	2	0	0	0	0	0	1	0	0	1	1	0	2	0	0	2	SS|0.8300|AB072735_S000251887;d:Bacteria,p:"Gemmatimonadetes",c:Gemmatimonadetes,o:Gemmatimonadales,f:Gemmatimonadaceae,g:Gemmatimonas,s:Gemmatimonas_aurantiaca
OTU1977	0	1	0	0	1	0	0	0	1	0	1	0	0	0	1	1	5	5	0	1	0	0	0	0	0	0	1	1	0	1	0	0	0	0	US|0.9758|GU207875_S002224490;d:Bacteria,p:"Proteobacteria"
OTU1978	0	0	0	0	0	0	0	0	0	0	0	0	0	0	13	16	6	13	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	SS|0.9500|AJ292685_S000019750;d:Bacteria,p:candidate_division_WPS-1
OTU1979	29	132	5	13	47	26	14	33	67	35	18	29	7	12	39	19	15	143	34	45	26	13	24	14	49	68	37	102	14	60	14	35	38	75	SS|0.9800|AJ233938_S000539315;d:Bacteria,p:"Proteobacteria",c:Deltaproteobacteria,o:Myxococcales,f:Polyangiaceae
OTU1980	6	3	0	1	1	2	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	3	2	0	0	SS|1.0000|X70769_S000529355;d:Bacteria,p:Cyanobacteria/Chloroplast,c:Cyanobacteria
OTU1981	1	3	0	0	0	0	2	2	1	0	4	2	0	0	0	0	0	0	7	7	7	0	12	5	0	1	1	0	4	3	0	2	0	3	US|0.9897|CP000804_S002287403;d:Bacteria,p:"Proteobacteria",c:Gammaproteobacteria,o:Aeromonadales
OTU1982	0	0	0	0	0	0	0	0	17	10	2	1	0	0	0	0	0	0	0	0	0	0	0	0	2	4	4	12	0	2	1	0	4	0	GS|99.2|EU861851_S001148156;d:Bacteria,p:"Armatimonadetes",g:Armatimonadetes_gp4;
OTU1983	0	1	0	1	1	1	3	2	0	1	3	2	0	0	6	6	14	27	2	2	0	1	2	1	2	3	0	1	2	1	0	0	6	2	US|0.9925|AB072735_S000251887;d:Bacteria,p:"Gemmatimonadetes",c:Gemmatimonadetes
OTU1984	0	0	0	1	0	0	2	1	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	1	8	5	3	10	1	0	0	2	1	SS|0.9800|AB360343_S001014081;d:Bacteria,p:"Actinobacteria",c:Actinobacteria
OTU1985	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	18	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	US|0.9973|AJ292685_S000019750;d:Bacteria,p:candidate_division_WPS-1
OTU1986	1	4	0	0	2	0	4	2	0	0	3	1	0	1	2	0	0	0	3	8	7	2	4	11	2	1	1	1	2	2	4	3	3	2	GS|97.6|EF457321_S000834746;d:Bacteria,p:"Acidobacteria",c:Acidobacteria_Gp6,g:Gp6;
OTU1987	33	52	44	33	38	33	100	78	49	25	34	29	18	20	49	43	18	119	48	64	107	46	153	103	59	70	67	60	38	37	23	24	17	52	US|0.9993|CP001854_S001872674;d:Bacteria,p:Firmicutes,c:Bacilli,o:Lactobacillales
OTU1988	0	2	1	0	0	0	3	0	3	0	0	0	0	0	4	4	8	7	1	3	0	0	0	1	0	0	1	0	0	1	0	0	0	0	US|0.9943|AY555786_S000486064;d:Bacteria,p:"Acidobacteria",c:Acidobacteria_Gp1
OTU1989	2	0	3	2	1	1	0	1	2	0	0	1	2	3	0	0	0	0	1	1	1	2	2	1	0	0	0	0	1	0	1	0	0	0	US|0.9958|X56305_S000006614;d:Bacteria,p:"Planctomycetes"
OTU1990	0	0	0	0	0	0	1	0	7	7	1	1	1	0	5	4	0	0	1	0	0	0	0	0	2	0	9	3	0	1	0	0	2	0	GS|97.2|AY289375_S000405845;d:Bacteria,p:"Acidobacteria",c:Acidobacteria_Gp4,g:Gp4;
OTU1991	0	1	0	0	5	0	0	2	2	0	1	0	2	2	85	67	11	68	0	0	1	0	0	1	0	0	0	0	0	1	2	0	0	2	US|0.9992|AJ292685_S000019750;d:Archaea,p:"Euryarchaeota",c:Methanopyri,o:Methanopyrales
OTU1992	4	5	2	3	5	8	5	1	2	0	6	2	4	9	1	1	4	2	4	1	2	2	3	2	5	2	2	4	3	1	12	5	0	4	SS|0.9700|AM162406_S000650674;d:Bacteria,p:"Planctomycetes",c:Planctomycetia,o:Planctomycetales,f:Planctomycetaceae
OTU1993	39	73	7	5	107	30	10	9	0	0	0	1	0	0	2	1	1	8	2	2	30	15	6	10	3	2	1	0	6	0	0	23	0	7	US|0.9959|AF013554_S000336303;d:Archaea,p:"Crenarchaeota",c:Thermoprotei,o:Desulfurococcales
OTU1994	0	1	0	0	2	0	2	3	4	0	3	2	0	0	2	0	1	8	1	1	1	1	0	0	1	1	1	2	0	0	0	0	0	1	SS|0.8700|AJ292687_S000017618;d:Bacteria,p:candidate_division_WPS-1
OTU1995	1	2	1	0	0	0	0	1	3	1	0	4	0	1	1	5	12	5	1	0	5	3	0	0	3	5	0	1	1	2	0	0	2	1	SS|0.9800|AY493923_S000262281;d:Bacteria,p:"Acidobacteria",c:Acidobacteria_Gp3
OTU1996	1	1	0	0	0	0	1	0	0	2	0	4	0	0	2	1	10	1	2	6	2	5	6	1	3	0	0	0	1	3	3	6	3	2	SS|0.8200|HQ436503_S002339683;d:Bacteria,p:"Proteobacteria",c:Alphaproteobacteria,o:Rhodospirillales,f:Acetobacteraceae,g:Roseomonas
OTU1997	2	4	1	1	4	1	2	6	16	16	12	24	0	0	0	0	2	0	22	16	1	0	2	1	27	31	147	146	10	9	0	5	28	11	SS|0.8200|GQ141052_S001550854;d:Bacteria,p:"Bacteroidetes",c:Cytophagia,o:Cytophagales,f:Cytophagaceae,g:Fibrella,s:Fibrella_aestuarina
OTU1998	36	26	96	81	25	15	24	8	0	1	2	5	86	104	6	3	2	0	8	2	25	28	41	9	2	0	4	1	24	11	222	64	3	10	US|0.9959|DQ208689_S000614201;d:Archaea,p:"Euryarchaeota",c:Archaeoglobi,o:Archaeoglobales
OTU1999	0	0	0	1	1	0	2	2	6	2	3	2	0	1	5	5	9	19	3	5	5	0	1	0	0	0	1	1	0	4	0	0	0	3	SS|1.0000|JN674641_S002960635;d:Bacteria,p:"Bacteroidetes",c:Sphingobacteriia,o:"Sphingobacteriales",f:Chitinophagaceae
OTU2000	0	0	0	0	0	0	0	0	0	0	0	0	0	0	10	9	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	SS|0.8400|HF947551_S003941499;d:Bacteria,p:"Verrucomicrobia",c:Subdivision3
OTU2001	0	0	0	0	0	0	0	0	0	0	0	0	0	0	13	12	1	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	SS|0.9200|AJ401115_S000246588;d:Bacteria,p:"Verrucomicrobia",c:Subdivision3
OTU2002	0	0	0	0	0	0	0	0	2	3	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4	5	2	0	0	0	0	0	SS|0.8200|AJ420142_S000145622;d:Bacteria,p:"Chloroflexi",c:Thermomicrobia,o:Sphaerobacterales,f:Sphaerobacteraceae,g:Sphaerobacter,s:Sphaerobacter_thermophilus
OTU2003	1	2	1	0	0	0	1	0	0	0	0	0	3	5	0	0	0	0	1	0	5	0	13	7	4	0	0	0	2	0	10	0	0	5	SS|0.9400|AF465803_S000841843;d:Bacteria,p:"Actinobacteria",c:Actinobacteria
OTU2004	1	0	1	1	0	0	2	1	3	1	3	1	0	0	0	0	0	2	1	1	0	1	1	0	9	3	3	6	2	5	0	0	7	0	GSL|97.6|AB522686_S001610847;d:Bacteria,p:"Actinobacteria",c:Actinobacteria,o:Actinomycetales,f:Streptomycetaceae,g:Streptomyces
OTU2005	0	0	0	0	0	0	0	1	10	5	5	4	0	0	0	0	0	0	4	3	0	0	0	0	3	1	4	5	0	4	0	0	3	0	SS|1.0000|AB278570_S000749598;d:Bacteria,p:"Bacteroidetes",c:Sphingobacteriia,o:"Sphingobacteriales",f:Chitinophagaceae
OTU2006	0	0	1	1	2	0	0	1	1	1	2	1	1	1	0	1	4	1	0	1	0	1	1	1	0	0	0	0	0	1	0	0	0	2	SS|0.8900|X62911_S000013732;d:Bacteria,p:"Planctomycetes",c:Planctomycetia,o:Planctomycetales,f:Planctomycetaceae
OTU2007	0	0	0	0	0	0	0	1	3	2	0	1	0	0	1	0	2	2	1	0	0	0	0	0	1	2	0	0	0	1	1	0	2	0	SS|0.9400|AB847448_S004125733;d:Bacteria,p:"Proteobacteria",c:Deltaproteobacteria,o:Myxococcales
OTU2008	1	3	3	1	0	2	0	2	1	0	0	1	3	4	1	1	0	0	0	1	0	0	0	0	0	0	0	0	2	1	2	3	0	0	SS|0.9000|AB360448_S001014085;d:Bacteria,p:"Actinobacteria",c:Actinobacteria,o:Acidimicrobiales,f:Iamiaceae
OTU2009	2	2	1	0	0	1	0	0	3	2	1	1	0	0	0	0	0	0	1	4	5	1	0	1	2	1	2	1	0	3	0	0	4	4	US|0.9727|Y08956_S000016110;d:Bacteria,p:"Bacteroidetes",c:Cytophagia
OTU2010	3	4	7	2	5	8	0	3	0	0	2	0	3	2	0	0	0	0	0	0	4	1	4	2	0	0	0	1	0	1	3	5	1	2	US|0.9898|None;d:Bacteria,p:"Proteobacteria",c:Deltaproteobacteria,o:Deltaproteobacteria_incertae_sedis
OTU2011	0	0	0	0	0	0	0	0	7	4	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	4	0	0	0	0	3	0	US|1.0000|AB669272_S003609811;d:Bacteria,p:"Armatimonadetes"
OTU2012	0	0	0	0	0	0	2	0	2	9	4	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	3	1	1	0	0	0	0	0	SS|1.0000|AB510913_S002038860;d:Bacteria,p:"Proteobacteria",c:Alphaproteobacteria
OTU2013	0	0	4	2	1	1	5	7	0	2	2	3	18	4	2	2	1	10	3	2	5	2	21	21	11	5	0	0	2	0	9	1	1	4	US|0.9727|EF457480_S000834905;d:Bacteria,p:"Chloroflexi",c:Thermomicrobia
OTU2014	1	4	0	1	3	2	3	5	4	0	3	5	2	6	9	1	6	17	3	5	1	0	1	2	4	4	7	4	4	4	4	1	5	5	SS|1.0000|AB072735_S000251887;d:Bacteria,p:"Gemmatimonadetes",c:Gemmatimonadetes,o:Gemmatimonadales,f:Gemmatimonadaceae,g:Gemmatimonas,s:Gemmatimonas_aurantiaca
OTU2015	0	1	0	3	7	6	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	1	0	0	SS|1.0000|Y18791_S000003918;d:Bacteria,p:Cyanobacteria/Chloroplast,c:Cyanobacteria
OTU2016	0	0	1	0	4	0	7	6	3	1	6	0	0	0	76	61	46	120	1	5	1	3	4	1	3	6	3	1	0	2	0	0	2	5	US|0.9959|JQ038037_S002965231;d:Bacteria,p:Firmicutes,c:Bacilli,o:Lactobacillales
OTU2017	1	0	0	0	0	0	0	0	0	0	1	2	3	1	0	0	1	10	1	1	1	1	0	1	3	1	0	0	10	1	0	0	2	1	GS|99.6|AJ277984_S000104372;d:Bacteria,p:Firmicutes,c:Bacilli,o:Bacillales,f:Planococcaceae,g:Planococcaceae_incertae_sedis,s:Psychrobacillus_psychrodurans;
OTU2018	0	0	0	0	0	0	0	0	0	1	0	0	0	0	69	71	150	184	0	1	0	0	0	0	0	0	0	0	0	1	0	0	0	0	SS|0.9700|JQ292916_S002966786;d:Bacteria,p:"Chloroflexi",c:Anaerolineae,o:Anaerolineales,f:Anaerolineaceae
OTU2019	5	2	5	2	2	2	0	2	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	1	0	0	1	0	0	US|0.9927|EF457456_S000834881;d:Bacteria,p:Firmicutes,c:Clostridia
OTU2020	0	2	0	0	2	1	0	0	3	0	0	1	0	0	1	0	0	1	1	0	0	2	0	1	1	1	2	0	0	1	0	0	2	0	SS|0.8100|EF516423_S000840865;d:Bacteria,p:"Armatimonadetes"
OTU2021	87	223	88	81	315	167	35	49	36	5	26	16	8	16	0	0	9	13	35	48	88	7	96	110	27	13	28	20	22	31	54	55	26	45	US|0.9959|EF457481_S000834906;d:Bacteria,p:Firmicutes,c:Bacilli,o:Lactobacillales
OTU2022	1	1	1	0	0	0	1	0	0	0	0	0	1	1	0	0	0	0	3	0	1	1	10	9	5	1	1	0	4	3	2	0	0	0	SS|1.0000|AB308475_S000870713;d:Bacteria
OTU2023	2	3	0	0	0	2	0	3	8	0	6	3	0	1	15	8	1	5	2	5	9	3	40	69	5	3	2	3	1	2	3	1	4	12	SS|1.0000|AB267478_S000721192;d:Bacteria,p:"Bacteroidetes",c:Sphingobacteriia,o:"Sphingobacteriales",f:Chitinophagaceae
OTU2024	0	0	0	1	0	0	0	0	1	0	1	0	0	0	0	0	0	0	2	3	1	0	3	9	2	1	0	0	0	3	0	0	0	0	US|0.8728|AM980986_S001350275;d:Bacteria,p:"Actinobacteria",c:Actinobacteria
OTU2025	1	4	0	0	4	1	0	2	6	0	2	1	1	1	25	26	0	9	2	1	0	1	1	1	1	16	0	0	5	1	0	4	1	3	SS|0.9600|GQ421850_S001589379;d:Bacteria,p:"Bacteroidetes",c:Cytophagia,o:Cytophagales,f:Cytophagaceae,g:Adhaeribacter
OTU2026	0	1	2	0	0	1	3	0	59	32	20	9	0	0	2	0	0	1	6	5	5	0	1	5	17	10	35	24	7	20	2	0	11	3	SS|1.0000|JN674641_S002960635;d:Bacteria,p:"Bacteroidetes",c:Sphingobacteriia,o:"Sphingobacteriales",f:Chitinophagaceae
OTU2027	83	78	199	127	26	21	138	95	6	4	35	38	90	77	10	7	12	8	84	68	71	99	134	41	2	0	4	1	75	34	128	78	17	105	US|0.9959|AJ241003_S000020231;d:Archaea,p:"Euryarchaeota",c:Halobacteria,o:Halobacteriales
OTU2028	0	0	0	0	0	0	0	0	4	4	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5	7	0	0	0	0	0	0	US|0.9943|AJ243791_S000001207;d:Bacteria,p:Firmicutes,c:Clostridia
OTU2029	0	0	2	3	0	0	0	0	0	0	2	2	0	0	0	0	0	0	1	1	2	1	0	0	0	0	1	0	1	1	0	0	1	0	US|0.9925|AB669272_S003609811;d:Bacteria,p:"Chloroflexi",c:Anaerolineae
OTU2030	0	1	0	1	0	1	0	1	1	1	1	0	0	0	0	0	0	0	0	1	0	0	0	1	0	0	2	1	0	0	0	0	1	0	US|0.9400|EU817570_S001153938;d:Bacteria,p:Firmicutes,c:Clostridia,o:Clostridiales
OTU2031	1	2	0	0	1	2	4	2	2	3	4	0	2	0	0	0	0	0	0	0	1	1	0	1	0	0	3	1	1	1	2	3	0	6	US|0.9749|AF146832_S000543678;d:Bacteria,p:"Proteobacteria",c:Gammaproteobacteria,o:Aeromonadales
OTU2032	0	2	0	0	1	0	5	7	7	3	2	3	1	0	9	6	5	5	1	1	1	0	1	0	6	7	8	9	1	2	0	1	3	1	US|1.0000|AJ292685_S000019750;d:Bacteria
OTU2033	0	1	1	1	1	0	1	1	6	2	0	0	0	0	7	2	1	0	1	1	0	1	0	0	5	0	1	3	1	3	0	0	3	3	SS|1.0000|AY234519_S000403452;d:Bacteria,p:"Verrucomicrobia",c:Subdivision3,g:Subdivision3_genera_incertae_sedis
OTU2034	15	13	5	6	3	1	1	3	0	0	4	1	1	1	0	0	2	0	1	2	6	3	1	1	0	0	0	0	1	2	5	9	4	4	US|1.0000|EU134979_S000933573;d:Bacteria,p:"Armatimonadetes"
OTU2035	0	0	0	0	0	0	2	0	2	1	1	0	2	1	15	17	0	2	1	1	0	0	1	2	4	9	1	1	1	1	0	1	1	0	SS|0.9500|KC867694_S003811167;d:Bacteria,p:"Planctomycetes",c:Planctomycetia,o:Planctomycetales,f:Planctomycetaceae
OTU2036	0	1	0	1	0	0	0	0	0	0	0	0	5	5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	6	1	0	0	SS|0.9400|AM403172_S000735149;d:Bacteria,p:"Proteobacteria",c:Alphaproteobacteria
OTU2038	0	0	0	0	0	0	0	0	1	1	1	2	0	0	0	0	0	0	0	0	0	0	0	0	0	1	6	3	0	1	0	0	0	0	US|0.9400|JQ733906_S003291140;d:Bacteria,p:"Proteobacteria",c:Gammaproteobacteria,o:Aeromonadales
OTU2039	1	0	1	1	3	0	3	0	1	0	1	0	1	0	4	3	7	2	1	0	0	0	2	0	0	0	1	1	2	0	0	1	2	0	US|0.9930|X62911_S000013732;d:Bacteria,p:"Planctomycetes",c:Planctomycetia
OTU2040	0	0	1	0	0	0	0	3	4	7	3	4	0	0	0	0	2	0	1	0	1	5	0	0	5	1	3	0	2	4	0	0	0	1	US|0.9973|AF465836_S000394589;d:Bacteria,p:Firmicutes,c:Bacilli
OTU2041	0	6	0	0	1	0	0	1	0	1	0	0	0	0	0	1	0	0	1	0	1	1	2	1	1	0	0	0	2	0	1	3	1	2	US|0.9973|CP000875_S000965246;d:Bacteria,p:Firmicutes,c:Bacilli
OTU2042	0	0	0	0	0	0	0	0	0	0	0	0	0	0	13	15	3	9	0	0	1	0	0	0	0	1	0	0	0	0	0	0	0	0	US|0.9958|EF457470_S000834895;d:Bacteria,p:"Acidobacteria"
OTU2043	0	0	0	0	0	0	0	0	1	2	0	0	0	0	0	0	0	0	2	0	0	0	1	0	3	1	0	3	5	0	0	0	0	0	SS|0.9700|AJ535710_S000351835;d:Bacteria,p:"Proteobacteria",c:Alphaproteobacteria,o:Rhodospirillales
OTU2044	1	0	0	0	1	0	0	0	0	0	0	1	0	0	2	3	4	3	3	1	0	2	0	0	0	2	1	1	0	1	0	0	0	0	GSL|98.4|AJ227759_S000113111;d:Bacteria,p:"Proteobacteria",c:Alphaproteobacteria,o:Caulobacterales,f:Caulobacteraceae,g:Caulobacter
OTU2045	0	0	0	1	0	0	1	0	0	0	0	0	0	0	3	7	0	18	0	0	0	0	0	1	0	0	0	0	0	1	1	0	0	1	SS|0.9300|AB072735_S000251887;d:Bacteria,p:"Gemmatimonadetes",c:Gemmatimonadetes,o:Gemmatimonadales,f:Gemmatimonadaceae,g:Gemmatimonas,s:Gemmatimonas_aurantiaca
OTU2046	0	2	1	0	0	0	11	2	3	3	8	1	0	2	0	1	0	0	5	17	19	2	1	2	3	1	0	3	2	4	3	2	6	2	SS|0.8700|EU135022_S000933616;d:Bacteria,p:"Armatimonadetes"
OTU2047	0	2	0	0	0	0	3	0	6	11	2	2	0	0	7	10	2	12	2	0	3	0	6	0	2	1	2	0	0	0	0	0	4	1	SS|1.0000|EU877262_S001155759;d:Bacteria,p:"Bacteroidetes",c:Sphingobacteriia,o:"Sphingobacteriales",f:Chitinophagaceae
OTU2048	0	1	0	0	1	0	1	0	0	0	0	0	0	1	1	0	1	2	0	5	3	0	4	9	0	0	0	0	0	1	1	0	0	1	US|0.9927|AY485299_S000369117;d:Bacteria,p:Firmicutes,c:Clostridia
OTU2049	1	0	1	0	0	0	3	4	0	0	3	2	0	0	0	0	0	2	1	1	2	0	0	0	1	0	1	1	3	1	1	0	2	1	SS|0.9800|AF407719_S000345641;d:Bacteria,p:"Acidobacteria",c:Acidobacteria_Gp3
OTU2050	2	1	1	0	1	1	1	0	1	0	1	1	0	0	0	0	0	0	0	0	2	0	1	1	0	0	1	0	4	1	0	0	0	1	SS|1.0000|EU135011_S000933605;d:Bacteria,p:"Armatimonadetes",g:Armatimonadetes_gp4
OTU2051	0	0	9	7	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	US|0.9925|U25627_S000437365;d:Bacteria,p:"Proteobacteria",c:Deltaproteobacteria
OTU2052	0	3	0	0	2	4	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	1	3	1	0	0	0	1	0	0	1	0	1	SS|0.9600|AJ292687_S000017618;d:Bacteria,p:candidate_division_WPS-1
OTU2053	2	0	5	6	0	1	0	0	0	0	0	0	1	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	SS|0.9900|X70769_S000529355;d:Bacteria,p:Cyanobacteria/Chloroplast,c:Cyanobacteria
OTU2054	0	0	0	0	0	0	0	0	8	2	1	2	0	0	7	4	3	3	0	0	1	0	1	0	2	1	1	4	1	2	0	0	3	1	US|1.0000|EF516423_S000840865;d:Bacteria,p:"Armatimonadetes"
OTU2055	5	1	4	4	2	3	0	1	0	0	1	0	2	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	1	1	1	1	US|0.9927|EF457487_S000834912;d:Bacteria,p:"Chloroflexi",c:Chloroflexia
OTU2056	6	7	5	10	6	3	13	9	26	8	18	14	4	6	23	6	27	26	9	10	17	11	7	1	8	9	16	12	13	5	7	6	6	16	SS|0.8900|KF459924_S004053537;d:Bacteria,p:"Actinobacteria"
OTU2057	0	1	0	0	0	0	3	0	0	0	0	1	1	4	0	0	0	0	0	1	1	2	1	0	0	0	0	0	1	0	3	0	0	0	SS|1.0000|AB072735_S000251887;d:Bacteria
